Mass,Intensity
75.007694,23340.32884
75.014086,48.081349
75.017244,45.34374
75.072348,45.129846
75.080985,42.288852
75.095718,44.777504
75.106134,42.639123
75.167285,47.794215
75.198739,41.346389
75.207475,42.669825
75.214511,49.789312
75.227427,40.861032
75.235318,44.896601
75.325991,43.283698
75.34979,43.10519
75.376858,48.927616
75.391446,48.066833
75.392998,42.376901
75.401535,46.885891
75.441136,44.67537
75.464368,45.780762
75.480458,48.521108
75.489943,43.066704
75.50433,36.113254
75.505497,41.621794
75.520977,46.814544
75.534828,72.605255
75.563164,40.365231
75.577416,45.123009
75.578039,45.93686
75.592997,49.4475
75.615052,43.606628
75.619105,47.979743
75.668163,48.851147
75.681742,47.705176
75.682601,43.866696
75.721174,44.941042
75.762669,38.257199
75.774084,52.563685
75.782217,44.264153
75.794184,33.715624
75.795592,40.064842
75.830259,39.552664
75.842629,42.822509
75.899978,47.234092
75.924285,42.968828
75.935815,45.881121
75.9457,36.908894
75.95441,41.502663
75.963514,43.489577
75.9895,42.50506
75.994762,55.431682
76.008508,39.542327
76.011022,42.787771
76.033967,41.161581
76.038133,46.593327
76.053463,51.251555
76.057709,52.399718
76.123175,45.293772
76.1316,43.709132
76.137822,45.556217
76.141918,45.019055
76.156412,48.05378
76.183365,44.326528
76.239996,42.878595
76.275916,40.654757
76.27639,45.387663
76.280181,48.615377
76.304196,43.780063
76.326326,46.519065
76.36824,43.344199
76.375915,53.897648
76.409477,39.533279
76.411535,47.667131
76.451856,40.565982
76.459385,39.014921
76.494746,46.768226
76.502123,42.194493
76.504106,43.487196
76.511643,39.253618
76.583178,39.965208
76.623793,68.273265
76.62435,56.9032
76.642641,45.980529
76.67423,45.981131
76.678926,42.409979
76.724716,46.757343
76.733082,47.150792
76.75795,41.40004
76.792242,43.420945
76.848036,46.083779
76.852748,40.42327
76.863292,46.107555
76.88103,43.85475
76.909008,48.313058
76.929802,48.028228
76.943722,47.71548
76.969412,36.869011
77.004728,47.909146
77.038384,83.70451
77.045037,42.102725
77.05931,61.229084
77.107287,50.386779
77.1382,42.47407
77.138923,46.552909
77.188261,41.415643
77.210455,53.22093
77.216728,41.033403
77.225497,44.309702
77.239176,46.576846
77.252456,43.623066
77.257849,39.262563
77.28265,46.968094
77.297713,51.63948
77.335915,57.784371
77.370192,40.833199
77.380762,42.497836
77.381327,39.766544
77.392949,45.512327
77.395451,40.798844
77.398438,52.660055
77.401909,45.018333
77.410467,43.058617
77.431302,48.647424
77.442046,44.951942
77.448753,46.601899
77.501947,46.059859
77.53075,44.081636
77.542648,41.980364
77.571312,41.024672
77.572608,45.999194
77.585488,39.093671
77.670137,40.775996
77.715194,50.064916
77.735422,42.666589
77.759315,53.093764
77.765493,49.29692
77.768745,46.70143
77.772729,42.541318
77.775656,45.525533
77.835863,38.179007
77.83627,42.750489
77.854428,46.654563
77.876176,50.292581
77.879435,42.412995
77.897281,54.820022
77.909753,46.210424
77.947594,48.36778
77.965219,48.872597
77.987013,44.683164
77.996649,55.396572
78.006204,83.73209
78.01331,38.918184
78.020335,47.115147
78.033817,46.70914
78.040927,48.85743
78.058012,39.421946
78.084998,44.478362
78.123704,38.483989
78.12616,41.798448
78.134019,46.722573
78.135657,40.705083
78.168091,40.383236
78.172188,45.912498
78.195299,50.81794
78.20448,44.279801
78.254927,46.100009
78.275447,45.489742
78.287846,40.511537
78.290227,42.042189
78.330318,41.666113
78.334345,40.423565
78.407629,43.359064
78.413885,50.122452
78.429857,49.337667
78.446328,44.963769
78.44814,50.65884
78.452588,47.950708
78.459673,40.939932
78.476483,37.059191
78.480934,43.432029
78.515067,47.030366
78.518944,51.702756
78.524636,41.899301
78.547326,42.017392
78.569282,46.901399
78.569447,46.250388
78.575144,44.586416
78.586788,46.395361
78.602482,53.001215
78.633554,43.453071
78.692112,56.142478
78.712722,46.897053
78.732429,47.214353
78.757364,47.656254
78.75869,46.770444
78.775016,90.28482
78.812493,44.728139
78.83813,45.566922
78.859046,41.256346
78.873908,47.307787
78.876483,48.727396
78.917856,41.710647
78.929327,55.114582
78.939054,345.155662
78.953689,54.654986
78.955935,36.019925
78.956434,34.716318
78.957931,1139738.654
78.972988,46.152619
78.976898,307.65258
78.977397,48.56447
78.978313,47.523142
78.981558,44.020812
79.005195,41.879579
79.02393,40.98765
79.037173,39.083494
79.037839,50.523657
79.063669,43.121338
79.066836,45.365916
79.06792,41.598773
79.073838,53.507046
79.117368,41.845328
79.139648,52.948844
79.203034,42.781213
79.291266,50.604376
79.299804,52.859357
79.328191,49.606858
79.341595,45.910318
79.354499,42.496676
79.358354,45.213393
79.364304,35.595724
79.374866,44.518275
79.379226,77.354258
79.385598,37.239886
