mf,ppm,unsat
CH4FN4O6S,-6.9955,1.5
C4H7F2NO3S2,-7.0711,1.0
C7H4F4KO,-7.104,3.5
C2H11N4S4,7.1483,-0.5
C2H5FKN6OS,7.1909,2.5
C3H6N6P3,7.2567,5.5
C10H2KN3O,-7.2911,11.0
C2H7F2N4P2S,-7.3889,1.5
C3H11FK2N2OP,7.426,-1.5
H8F4N3P3,7.443700000000001,-2.0
C8H9FPS2,7.4989,4.5
C5H6N3O3PS,7.5744,5.0
C5H4F4O3P,-7.632899999999999,2.5
C8H2N3O3P,-7.8199,10.0
C11H5FPS,-7.895499999999999,9.5
C6H13KPS2,-8.011,0.5
C2H3F5KN3O,-8.0164,0.0
C7H6KN3OS,8.1033,6.0
C5HFKN6O,-8.2034,7.5
C5H7N4S3,-8.2461,4.5
C4H8F4KOS,8.290299999999998,-1.5
H9K2N6OS,-8.3189,-1.5
C5H9F3P3,8.356,1.5
CH5F3KN3O4,8.3659,-1.0
C9F5O,8.4058,7.5
C4H13O2P2S2,-8.539800000000001,-0.5
H3F5N3O3P,-8.545200000000001,-1.0
C3H6F6PS,-8.620800000000001,-1.5
C3HFN6O3P,-8.732299999999999,6.5
C4H6F2O6P,8.7494,1.5
C6H4F2N3PS,-8.8078,6.0
H2F6N4OP,8.9124,-0.5
C4H12FNP2S2,8.9178,0.0
CH9N4O3P2S,8.9934,0.5
CH6F2KN2O6,-9.0918,-1.5
C6H6F2KO4,9.2782,2.5
C3H9NO6S2,9.3111,0.0
C2H9F3KN2P2,-9.4851,-1.5
C5H12K3NO,-9.5028,-1.0
C3H9KN4OPS,9.5222,1.5
C8HFN4OP,9.637699999999999,10.5
CH3F3N6PS,-9.7202,2.5
C5H3F5NOP,9.8247,3.0
C4F5N2O3,-9.9642,3.5
C3H12K2NO3P,-10.031600000000001,-2.0
C10HF2N2S,-10.2268,10.5
C2H6KN5O3S,-10.2667,2.0
C5H9FKN2S2,-10.3423,1.5
C4H6F3N2OS2,10.3865,1.5
CH3F2N5O4S,10.462000000000002,2.0
C13H2NOP,10.55,14.0
C2H9F2KNO4P,10.697099999999999,-2.0
H6N5O5PS,-10.7956,1.0
C3H9FN2O2PS2,-10.8712,0.5
C6H6F3KNP,-10.9041,3.0
C2H2F7N2S,-10.9522,-0.5
C3H3F2NO8,-11.0396,2.0
C4H4FN5OP2,11.0566,6.0
C5F3N5S,-11.1392,7.0
C4H9F2K2NO2,11.226,-1.0
CH6F5N2OP2,11.2437,-1.5
H8F2KN5S2,-11.2547,-2.0
C6H4FN2O4S,11.374400000000001,5.5
C4H6F3NO2P2,-11.433,2.0
C3HN5O7,11.4499,6.0
C7H9K2O3,-11.4506,2.5
H3F4N2O7,11.637,-1.5
CH5F4KN4P,-11.8165,-0.5
C9H5N2OP2,11.969,9.5
C5H9KO5P,-11.9795,1.5
