mf,ppm,unsat
C7HN5O2S,0.024200000000000003,10.0
C5H6FK2N4,-0.12419999999999999,3.5
C4H3F4N2O2S,0.2112,2.5
C8H7KNO2P,0.2593,6.0
C6H7NO4P2,-0.2696,5.0
CF3N5O5,0.2868,3.0
C3H6FKN4O2P,-0.653,2.5
C3H12N2OPS3,-0.6957,-0.5
C10H7K2N,0.7882,7.0
H3N4O10,-0.7886,1.5
C3H6FNO7S,-0.8642,1.0
C2H10N2O4P3,1.1494,0.5
C12H4KO2,-1.1597000000000002,10.5
CH6FN4O4P2,-1.1819000000000002,1.5
C6HF2N2O5,1.1991,6.5
C4H9F2NOP2S,-1.2575,1.0
CH9FK2N5P,1.2948000000000002,-1.0
C3H4N6O2PS,1.4432,5.5
H6F4N3O2PS,1.6302,-2.0
C4H10KN2O2P2,1.6783000000000001,1.5
C10H4O4P,-1.6885000000000001,9.5
C4H5F5KO2,-1.885,-0.5
C5H4KN6S,1.972,6.5
C7H3FKN3O2,-2.0719999999999996,7.0
C7H9NOS3,-2.1147,4.0
C2H6F4KN3S,2.159,-1.0
C2H11K2N3O2S,-2.1875,-2.0
C6H10K2N2P,2.2071,2.5
C2H5F5O4P,-2.4138,-1.5
C4F9,2.4615,0.5
C5H7F3O2PS,2.5425,1.5
C5H3FN3O4P,-2.6008999999999998,6.0
C2H4F2N3O5P,2.6181,2.0
C8H6F2OPS,-2.6764,5.5
C4H15P4S,-2.7262,-0.5
C2H2F2KN6O2,-2.9844000000000004,3.5
C2H8FN4OS3,-3.027,0.5
C7H7F3KS,3.0714,2.5
C4H10FNO2S3,3.1043000000000003,0.0
C4H4F2KN3O3,3.1470000000000002,3.0
CH7N4O5S2,3.1799,0.5
H2F2N6O4P,-3.5132,2.5
C7H5FO5P,3.5304,5.5
C3H5F3N3OPS,-3.5888,2.0
C2H13K2N3P2,3.6261,-2.0
C3HF5N4P,3.6935,3.5
C9FN2O4,-4.019900000000001,10.5
C9H5FKO3,4.0593,6.5
C4H8KN2O4S,-4.1353,1.5
C2H4F3N5S2,4.2552,2.0
C11N4P,4.4188,14.5
C2H8KN5OP2,-4.4531,2.0
C3H10F3KNPS,4.4903,-2.0
H7F2KN4O3P,4.5659,-1.5
C8H2F4NP,4.6058,7.0
C2H8N2O6PS,-4.6642,0.5
CHF6N2O4,-4.7452,-0.5
C3H8FNO5P2,4.949400000000001,1.0
H8N5O3P3,-4.9818999999999996,1.0
C7H2F3N2OS,-5.0078,6.5
C3H11FN2P3S,-5.0575,0.5
C2H7F2K2N4O,5.0948,-0.5
C7H5F2N2S2,5.1676,5.5
C4H2FN5O3S,5.2431,6.0
CH4F5N2O3S,5.4302,-1.5
C5H8FKNO3P,5.4782,2.0
C3H7F4KNOP,-5.685,-1.0
H4F3NO9,-5.8206,-2.0
C7H3N5P2,5.8377,10.0
C6H5KN4OP,-5.8721,6.5
C2HF4N5OS,-5.920100000000001,3.0
C7H8FK2NO,6.007099999999999,3.0
C4H5F4N2P2,6.0248,2.5
C6H5NO6S,-6.0832,5.0
C9H3N2O3S,6.1555,9.5
CH7F4NO3P2,-6.2139,-2.0
C4H10FK2O4,-6.231599999999999,-1.5
C4H5N4O3P2,-6.4009,5.5
C3H2F3N2O6,6.4181,2.5
C7H8FNP2S,-6.4765,5.0
C3H8F2N3PS2,6.5865,1.0
H5FN6O3PS,6.6621,1.5
CH10N5PS3,-6.827100000000001,0.0
