mf,ppm,unsat
C2H15N3O2P4S,4.5143,-1.0
C8H15P2S3,-4.529100000000001,2.5
C4H5F5N3OPS,-4.5335,2.0
C6H6F2N3O3PS,4.5548,5.0
C5H6N2O9P,-4.6047,4.5
C3H3FN6O6P,4.6163,5.5
C7H3FN6OPS,-4.6858,9.5
H5F5N3O6P,4.7685,-2.0
C4H15O5P2S2,4.773,-1.5
C2H11KN6OPS2,-4.779800000000001,0.5
C10F3N2O4,-4.8845,10.5
C2H5FKN5O7,-4.917,2.0
C6H9FN2O3P3,-4.925000000000001,4.5
C4H15KN3P3S,4.9448,0.0
C8H12FNS4,4.9506,3.0
C2H11N3O6S3,-4.951700000000001,-1.0
C5H8F2KN2O4S,-4.9784999999999995,1.5
C8H6F2KN3OS,4.9853000000000005,6.0
C5H9N4O3S3,5.0121,3.5
C5H14FO3S4,-5.013199999999999,-1.5
C9H7FN3P3,5.0388,9.0
C5H3FKN6O4,5.046799999999999,6.5
C16HN2OS,-5.0983,17.5
C5H8F6KOS,5.1376,-1.5
C6H9F5P3,5.1911000000000005,1.5
C2H5F5KN3O4,5.1991,-1.0
C6H15KO3PS2,5.2035,-0.5
H11N6O3P2S2,-5.2104,-0.5
C10F7O,5.2316,7.5
C3H8F2KN5OP2,-5.2372,2.0
C3H14FN3P2S3,-5.2719000000000005,-1.0
C11H7FO3PS,5.297499999999999,8.5
H5FN5O9P,-5.3475,1.0
C8H4N3O6P,5.359,9.0
C3H8F2N2O6PS,-5.409,0.5
C2HF8N2O4,-5.4750000000000005,-0.5
C5H6F4O6P,5.5113,1.5
C8H15K2OS2,5.6339999999999995,0.5
CH2F8N4OP,5.643999999999999,-0.5
C5H12F3NP2S2,5.6484,0.0
C12H6FKNOP,-5.6496,10.0
CH8F2N5O3P3,-5.6677,1.0
C8H2F5N2OS,-5.6888,6.5
C2H9F2N4O3P2S,5.71,0.5
H7F3KN5O4S,-5.721299999999999,-2.0
C13H7FKOS,5.7281,9.5
C4H11F3N2P3S,-5.7293,0.5
C7H14K2NOPS,-5.743600000000001,1.0
C9H3NO9,-5.76,9.0
C14H8P3,5.7816,12.5
C10H4KN3O4,5.789599999999999,10.0
C11FN5OS,-5.840999999999999,14.0
C6H8KN5OS2,-5.9351,5.0
C7H6F4KO4,5.9418,2.5
C4H9F2NO6S2,5.9686,0.0
CH6FN4O9S,6.030200000000001,0.5
C10H6FNO3P2,-6.0802,9.0
H5F6N5OS2,6.1014,-2.0
C4H15FN2PS4,6.1058,-1.5
C4H9F2KN4OPS,6.1405,1.5
CH12N5O3PS3,6.1673,-1.0
C5H14KNO3P2S,-6.1742,0.0
C5H10FN4P4,6.194,4.5
C9HF3N4OP,6.234500000000001,10.5
C4H7F6KNOP,-6.2401,-1.0
CH4F5NO9,-6.350499999999999,-2.0
C4H8N5O3PS2,-6.3656,4.0
C6H3F7NOP,6.3868,3.0
C7H5F2KN4OP,-6.3924,6.5
C7H11FN2PS3,-6.4271,3.5
C3HF6N5OS,-6.4315,3.0
C3H14KN4P4,-6.4329,0.5
C7H10FNO3P2S,6.4527,4.0
C4H2FN4O9,-6.5027,5.5
C4H7N4O6P2,6.514200000000001,4.5
C7H5F2NO6S,-6.5643,5.0
C3H12KN5OS3,6.597799999999999,0.0
C3H14NO5P3S,-6.6048,-1.0
C2H7F6NO3P2,-6.6707,-2.0
