mf,ppm,unsat
C6F13,0.0061,0.5
C7H2F2N6O5P,-0.0148,9.5
C3H11N6O4P4,-0.0489,3.5
C7H7F7O2PS,0.061700000000000005,1.5
C10H5F3N3O2PS,-0.0667,9.0
C2H10FKN6O5PS,-0.0941,0.5
C6H14FN3OP4S,-0.1008,3.0
C4H4F6N3O5P,0.11359999999999999,2.0
C8H14FO4P2S2,0.1173,2.5
C5H13F2KN3O2PS2,-0.14600000000000002,0.0
CH3F7KN6O3,-0.1497,-0.5
C8H10F4K2N2P,-0.1686,2.5
C5H11N3O7P2S,0.16920000000000002,3.0
C4H6F8KN3S,-0.2016,-1.0
C7H13F2K2N3S2,0.21710000000000002,1.0
C2H10FN3O10S2,-0.23900000000000002,-1.0
C4H16KN4O2S4,0.2397,-1.5
C5H7F3KN2O8,-0.2616,1.5
C4H10FK2N6O3S,0.26899999999999996,1.5
C5H13F2O7S3,-0.2909,-1.5
C12H5F3KN3S,0.2964,10.0
C11H8K2N5P,-0.29700000000000004,10.0
C5H11KN6O2P3,0.3141,4.5
C9H8FN4O2S3,0.319,7.5
C7H4F4KN6S,-0.33,6.5
C9H2F2KN6O3,0.3483,10.5
C16FN2O5,-0.3626,17.5
C7H11O10S2,0.3873,2.5
C9H7F7KS,0.4248,2.5
C11H8KN2O5S,-0.4419,8.5
C6H10F5NO2S3,0.4474,0.0
H10FN6O7P2S,-0.4571,-0.5
C6H4F6KN3O3,0.47669999999999996,3.0
C10H14FKO2PS2,0.4804,3.5
C3H7F4N4O5S2,0.4993,0.5
C3H13F2N3O4P2S2,-0.509,-1.0
C11H15OP4S,0.5255,6.5
C6H10F4KN2O2P2,-0.5316000000000001,1.5
C7H11KN3O5PS,0.5323,4.0
C9H13FK3NO3,-0.5438,2.0
C15H6F2O2PS,0.5597,12.5
C6H16F3OP2S3,-0.5609,-1.5
C2H6F8N3O2PS,-0.5646,-2.0
C12H3FN3O5P,0.6115,13.0
C3H7F3N2O10P,-0.6247,0.5
C9H8KN5O2P2,-0.66,9.0
C7H11K2N6P2,0.6771999999999999,5.5
C5H4F4N6O2PS,-0.693,5.5
C5H14F3O4P4,0.7058,-0.5
CH13F2N6OP4S,-0.7272,-0.5
C9H5F5O5P,0.7399,5.5
C7H16FK4N2O,0.7935,-1.5
C3H9F5K2N5P,-0.7949,-1.0
C9H8N2O7PS,-0.805,7.5
C4H13F4K2N3P2,0.8056,-2.0
C12H14FK2S2,0.8434,4.5
C5HF9N4P,0.8519000000000001,3.5
C8HF6N2O5,-0.8605999999999999,6.5
C2H17FN4OP5S,0.8733,-1.5
H6F4KN5O8,-0.8879,-2.0
C4H10F4N2O4P3,-0.8946999999999999,0.5
C9H11K2N3O3S,0.8953,5.0
C7H13FK2NO5P,-0.9068,1.0
C6H8F3N4O2P2S,0.9075,4.5
C17H6F2KS,0.9227,13.5
C14H9NO2S3,0.9453,11.0
C14H3FKN3O3,0.9745999999999999,14.0
C4H11F2O10P2,0.9758,-0.5
C7H8N5O4P3,-1.0231,8.0
C14H2F3N2O2S,-1.0408,13.5
C6H7FKN5O5S,-1.0682,5.0
C7H14F3KO2P3,1.0689,0.5
