mf,ppm,unsat
C3H9NOP2S,-0.3658,1.0
C3H5F3KO2,-1.179,-0.5
C3H3F2N2O2S,1.5374,2.5
FN5O5,1.6353,3.0
CH5F3O4P,-1.8643,-1.5
C7H6OPS,-2.2046,5.5
CH2KN6O2,-2.6037000000000003,3.5
C5HN2O5,2.8176,6.5
C2H5FN3OPS,-3.3869000000000002,2.0
CH6F2KN3S,4.0615,-1.0
C3F7,4.4535,0.5
C4H7FO2PS,4.558400000000001,1.5
CH4N3O5P,4.6564,2.0
HF4N2O4,-4.8854,-0.5
C6H2FN2OS,-5.2257,6.5
C6H7FKS,5.2437000000000005,2.5
C3H4KN3O3,5.3417,3.0
C2HF3N4P,6.0499,3.5
C2H7F2KNOP,-6.1033,-1.0
CHF2N5OS,-6.408,3.0
CH4FN5S2,6.7778,2.0
H7F2NO3P2,-6.7886999999999995,-2.0
C2H10FKNPS,7.0825000000000005,-2.0
C7H2F2NP,7.2321,7.0
CH7K2N4O,7.8657,-0.5
C3H7NO3S2,-7.8995,1.0
C6H4F2KO,-7.9421,3.5
C6H5N2S2,7.960100000000001,5.5
H4F3N2O3S,8.3004,-1.5
CH7N4P2S,-8.3113,1.5
C4H4F2O3P,-8.6275,2.5
C3H5F2N2P2,9.0709,2.5
CH3F3KN3O,-9.1244,0.0
C2H2FN2O6,9.580599999999999,2.5
C2H8N3PS2,9.7989,1.0
C2H6F4PS,-9.9077,-1.5
C5H4N3PS,-10.1501,6.0
H6KN2O6,-10.518,-1.5
CH9FKN2P2,-11.0277,-1.5
H3FN6PS,-11.3324,2.5
C3F3N2O3,-11.6486,3.5
C9HN2S,-11.9889,10.5
