latitude,longitude,significant_hit_count,geo_location_name,environment_biome
-33,-103,0,,
-33,1.001,0,,
-32.997,152.916,118,Australia:Tasman Sea - shelf,
-32.796,153.799,14,Australia:East Australian Current,
-32.786,153.785,14,Australia:East Australian Current,
-32.722,153.221,56,Australia:Tasman Sea,
-32.71,18.13,71,,marine
-32.69,18.49,0,,marine
-32.601,153.354,63,Australia:Tasman Sea,
-32.6,153.042,172,Australia:Tasman Sea,
-32.6,153.127,62,Australia:Tasman Sea,
-32.596,153.218,5,Australia:Tasman Sea,
-32.594,153.22,6,Australia:Tasman Sea,
-32.57,18.37,0,,marine
-32.515,-164.981,224,,ocean_biome
-32.513,-158.028,251,,ocean_biome
-32.51,-160.008,0,,ocean_biome
-32.509,-162.009,1,,ocean_biome
-32.506,-162.994,0,,ocean_biome
-32.504,-163.99,1,,ocean_biome
-32.504,-156.011,4,,ocean_biome
-32.501,-153.998,28,,ocean_biome
-32.5,-179.303,36,,ocean_biome
-32.5,-176,62,,ocean_biome
-32.5,-172,1,,ocean_biome
-32.5,-170,40,,ocean_biome
-32.499,-169.002,3,,ocean_biome
-32.499,-154.999,5,,ocean_biome
-32.498,-165.999,1,,ocean_biome
-32.498,-160.993,0,,ocean_biome
-32.497,-170.995,0,,ocean_biome
-32.497,-167.002,7,,ocean_biome
-32.496,-164.992,58,,ocean_biome
-32.496,-151.001,0,,ocean_biome
-32.495,-168.002,2,,ocean_biome
-32.495,-157.994,89,,ocean_biome
-32.495,-154.004,206,,ocean_biome
-32.494,-169.995,24,,ocean_biome
-32.494,-157.009,3,,ocean_biome
-32.494,-153.006,0,,ocean_biome
-32.489,-152,2,,ocean_biome
-32.487,-169.991,118,,ocean_biome
-32.477,154.48,10,Australia:Tasman Sea - shelf,
-32.476,153.164,8,Australia:Tasman Sea - shelf,
-32.475,153.166,3,Australia:Tasman Sea - shelf,
-32.474,154.102,0,Australia:Tasman Sea - shelf,
-32.473,153.223,44,Australia:Tasman Sea,
-32.472,153.169,203,Australia:Tasman Sea - shelf,
-32.472,154.103,75,Australia:Tasman Sea - shelf,
-32.466,153.398,60,Australia:Tasman Sea - shelf,
-32.465,153.395,0,Australia:Tasman Sea - shelf,
-32.465,153.396,1,Australia:Tasman Sea - shelf,
-32.465,153.704,168,Australia:Tasman Sea - shelf,
-32.464,-159.019,1,,ocean_biome
-32.434,153.171,128,Australia:Tasman Sea,
-32.415,36.601,0,,
-32.39,18.4,0,,marine
-32.375,-33.675,1,,
-32.299,152.795,14,Australia:Tasman Sea - shelf,
-32.299,154.389,17,Australia:Tasman Sea - Cold core eddy,
-32.295,153.115,0,Australia:Tasman Sea,
-32.294,153.452,49,Australia:Tasman Sea - Cold core eddy,
-32.293,153.618,30,Australia:Tasman Sea - Cold core eddy,
-32.293,153.834,14,Australia:Tasman Sea - Cold core eddy,
-32.24,17.71,3,,marine biome (ENVO:00000447)
-32.092,-37.456,67,,ocean_biome
-32,-103,0,,
-32,115.417,133,Australia:Rottnest Island NRS,
-31.917,13.546,0,,
-31.844,153.317,0,Australia:Tasman Sea - shelf,
-31.842,153.317,11,Australia:Tasman Sea - shelf,
-31.836,153.318,172,Australia:Tasman Sea - shelf,
-31.6,178,5,,ocean_biome
-31.508,153.327,6,Australia:Tasman Sea - shelf,
-31.504,153.328,17,Australia:Tasman Sea - shelf,
-31.496,153.329,11,Australia:Tasman Sea - shelf,
-31.242,155.39,21,Australia:Tasman Sea - shelf,
-31.116,-0.392,0,,
-31.034,110.455,0,,
-31.027,4.665,25,,marine biome (ENVO:00000447)
-31.027,4.68,29,,marine biome (ENVO:00000447)
-31.02,4.668,1101,,marine biome (ENVO:00000447)
-30.914,40.424,0,,
-30.848,109.388,0,,
-30.814,153.444,5,Australia:Tasman Sea - shelf,
-30.813,153.445,3,Australia:Tasman Sea - shelf,
-30.697,108.524,0,,
-30.636,153.622,3,Australia:Tasman Sea - shelf,
-30.633,153.624,4,Australia:Tasman Sea - shelf,
-30.62,153.372,5,Australia:Tasman Sea,
-30.617,153.374,4,Australia:Tasman Sea,
-30.539,107.653,0,,
-30.5,-103,0,,
-30.498,9.044,0,,
-30.394,154.082,25,Australia:East Australia Current,
-30.33,154.091,6,Australia:East Australia Current,
-30.207,105.721,0,,
-30.148,-43.27,131,,marine biome (ENVO:00000447)
-30.147,-43.292,1094,,marine biome (ENVO:00000447)
-30.137,-43.29,1,,marine biome (ENVO:00000447)
-30.054,153.652,2,Australia:East Australian Current,
-30.046,153.649,5,Australia:East Australian Current,
-30.02,-2.094,0,,
-30.012,41.642,0,,
-30.006,-31.15,0,,
-30.001,49.246,1,,
-30.001,51.209,2,,
-30,43.652,0,,
-30,46.402,1,,
-30,47.373,1,,
-30,51.83,0,,
-30,154.003,0,,ocean_biome
-30,156,5,,ocean_biome
-30,159,1,,ocean_biome
-30,162.998,5,,ocean_biome
-30,167,7,,ocean_biome
-30,170.877,0,,ocean_biome
-30,174,9,,ocean_biome
-30,175.947,2,,ocean_biome
-29.998,153.5,0,,ocean_biome
-29.997,40.008,1,,
-29.933,154.031,19,Australia:East Australia Current,
-29.903,54.5,4,,
-29.864,103.767,0,,
-29.784,154.102,12,Australia:East Australia Current,
-29.724,-101.16,1,,marine biome (ENVO:00000447)
-29.694,154.159,44,Australia:East Australia Current,
-29.655,154.183,55,Australia:East Australia Current,
-29.613,-2.722,0,,
-29.533,37.912,95,,marine biome (ENVO:00000447)
-29.515,101.785,0,,
