mf,ppm,unsat
C23H12F3N2O2PS2,0.8219000000000001,18.0
C11H18F10O2S4,0.8321999999999999,-2.0
C22H14F2N3OP2S2,-0.8423999999999999,17.5
C9H7F16KN3,-0.8489,-0.5
C11H12F11KN2O3S,0.8509,1.0
C11H15F5KN2O10P,-0.8517,3.0
C8H15F9N3O5S3,0.8653,-1.5
C11H21F4O9PS3,-0.8704,0.0
C7H11F9N3O10S,-0.8728,-0.5
C12H19F5KN2O5PS2,0.8863,2.0
C17H22FKN3OP2S3,-0.893,8.5
C32H8NO2P2,0.8935,30.5
C9H22F3N3O7PS4,0.9007000000000001,-0.5
C16H4F12N2O3,0.9014,10.0
C10H14F10O7S2,-0.9058999999999999,-1.0
C13H18F5N4OPS4,-0.9139999999999999,5.0
C22H8F3N2O7P,-0.9162,19.0
C17H11F6N2O5PS,0.9369,11.0
C14H19N3O9PS3,-0.9522999999999999,7.5
C21H15F2KNO5P2,0.958,14.5
C17H16F2KN2O7PS,-0.9667,10.0
C18H18N2O7P2S2,0.9724,12.0
C17H22FO6PS4,-0.9853999999999999,7.0
C13H12F6N3O7S2,-0.9878000000000001,6.5
C16H9F8KN2O5,-1.0022,9.0
C16H15F7O4S3,-1.0209000000000001,6.0
C28H9N2O4PS,-1.0312,26.0
C8H14F10N3O4P2S,-1.045,-0.5
C11H10F9N2O8P,1.0519,4.0
C25H12F3KN2S2,1.0534999999999999,19.0
C27H2F6N2O2,-1.0666,25.0
C22H15FN3O2S4,1.0679,16.5
C11H17F11OP2S2,-1.0781,-1.0
C7H7F16N3O2P,-1.0805,-1.5
C12H17F3N2O10P2S,1.0874,5.0
C10H9F14N3PS,1.0902,1.5
C19H13F3N3O4S3,-1.1028,13.5
C30H4F4N2S,1.1040999999999999,28.0
C14H13F10KN2P2,1.1113,5.0
C22H10F5KN2O2S,-1.1172,16.0
C34H8KNP,1.1251,31.5
C11H16F8N3O2P2S2,1.1257000000000001,2.5
C11H22F3KN3O5S4,1.1323999999999999,0.5
C22H16F4OS4,-1.1359,13.0
C19H17F5O2S4,1.1498,9.0
C14H21F2KN3O4S4,-1.1534,4.5
C23H11KNO10,-1.1555,18.5
C14H15F7N3OP2S2,-1.1601,6.5
C19H11F6KN2O3S,1.1684999999999999,12.0
C16H14F4N3O5S3,1.1828999999999998,9.5
C15H16F2N2O9P2S,-1.1984000000000001,9.0
C20H18KN2O5PS2,1.204,13.0
C25H14N3OS4,-1.2178,20.5
C24H3F7N2O3,1.2190999999999999,21.0
C14H9F8N2O7P,-1.2338,8.0
C10H24FKN2O9P2S2,-1.2489000000000001,0.0
C25H10FN2O5PS,1.2546,22.0
C13H16F8O5S3,1.2649,2.0
C13H10F9KN2O6,1.2835,5.0
C9H17F7KN2O7PS,-1.2844,-1.0
C10H13F7N3O8S2,1.2979999999999998,2.5
C14H23F2O7PS4,1.3003,3.0
C14H17F3KN2O8PS,1.319,6.0
C8H10F13KN2O5,-1.3199,-2.0
