Mass,Intensity,ControlMax__ab1_1_peaks,ControlMax__mc_1_peaks,ControlMax__pc1_1_peaks,Average_Control_Intensity
75.004001,33.538729,0.0,0.0,0.0,0.0
75.074434,35.416107,0.0,0.0,0.0,0.0
75.096185,37.547654,0.0,0.0,0.0,0.0
75.142573,35.837241,0.0,0.0,0.0,0.0
75.181893,33.966219,0.0,0.0,0.0,0.0
75.206861,33.164828,0.0,0.0,0.0,0.0
75.2272,39.726185,0.0,0.0,0.0,0.0
75.358014,33.05737,0.0,0.0,0.0,0.0
75.390907,35.637564,0.0,0.0,0.0,0.0
75.418385,31.23894,0.0,0.0,0.0,0.0
75.439432,35.798904,0.0,0.0,0.0,0.0
75.453027,44.347334,0.0,0.0,0.0,0.0
75.470668,31.344792,0.0,0.0,0.0,0.0
75.476031,34.367416,0.0,0.0,0.0,0.0
75.496635,31.040913,0.0,0.0,0.0,0.0
75.505501,32.132871,0.0,0.0,0.0,0.0
75.531097,47.424817,0.0,0.0,0.0,0.0
75.589729,34.309719,0.0,0.0,0.0,0.0
75.599235,42.227569,0.0,0.0,0.0,0.0
75.621916,37.791362,0.0,0.0,0.0,0.0
75.625892,34.859854,0.0,0.0,0.0,0.0
75.639928,33.190512,0.0,0.0,0.0,0.0
75.64063,33.241983,0.0,0.0,0.0,0.0
75.652251,35.418577,0.0,0.0,0.0,0.0
75.718366,33.215524,0.0,0.0,0.0,0.0
75.734459,34.799897,0.0,0.0,0.0,0.0
75.75853,40.136899,0.0,0.0,0.0,0.0
75.762673,30.861799,0.0,0.0,0.0,0.0
75.776199,31.041746,0.0,0.0,0.0,0.0
75.878116,31.556927,0.0,0.0,0.0,0.0
75.926014,37.705308,0.0,0.0,0.0,0.0
75.970661,35.204682,0.0,0.0,0.0,0.0
75.976235,32.011387,0.0,0.0,0.0,0.0
76.017704,33.827008,0.0,0.0,0.0,0.0
76.023912,32.434057,0.0,0.0,0.0,0.0
76.060072,35.137157,0.0,0.0,0.0,0.0
76.065892,31.639629,0.0,0.0,0.0,0.0
76.075802,35.822131,0.0,0.0,0.0,0.0
76.0854,32.979822,0.0,0.0,0.0,0.0
76.086423,33.675528,0.0,0.0,0.0,0.0
76.117432,33.140805,0.0,0.0,0.0,0.0
76.175802,33.294712,0.0,0.0,0.0,0.0
76.178718,29.569431,0.0,0.0,0.0,0.0
76.221221,31.635999,0.0,0.0,0.0,0.0
76.226428,31.332769,0.0,0.0,0.0,0.0
76.241499,34.734852,0.0,0.0,0.0,0.0
76.261865,29.551643,0.0,0.0,0.0,0.0
76.270313,31.137144,0.0,0.0,0.0,0.0
76.300645,35.234582,0.0,0.0,0.0,0.0
76.332022,38.136974,0.0,0.0,0.0,0.0
76.339691,37.022233,0.0,0.0,0.0,0.0
76.373229,33.441747,0.0,0.0,0.0,0.0
76.404651,33.399131,0.0,0.0,0.0,0.0
76.413044,58.169773,0.0,0.0,0.0,0.0
76.428884,28.795615,0.0,0.0,0.0,0.0
76.433399,32.807137,0.0,0.0,0.0,0.0
76.535851,31.745565,0.0,0.0,0.0,0.0
76.548156,29.848076,0.0,0.0,0.0,0.0
76.558637,39.282849,0.0,0.0,0.0,0.0
76.577064,32.499046,0.0,0.0,0.0,0.0
76.647816,33.636809,0.0,0.0,0.0,0.0
76.657443,34.047848,0.0,0.0,0.0,0.0
76.660546,34.434844,0.0,0.0,0.0,0.0
76.665639,30.001582,0.0,0.0,0.0,0.0
76.722569,35.760641,0.0,0.0,0.0,0.0
76.746316,31.906765,0.0,0.0,0.0,0.0
76.752772,37.267066,0.0,0.0,0.0,0.0
76.800304,32.770004,0.0,0.0,0.0,0.0
76.840055,40.600915,0.0,0.0,0.0,0.0
76.841572,44.257296,0.0,0.0,0.0,0.0
76.852673,34.212141,0.0,0.0,0.0,0.0
76.939245,37.571565,0.0,0.0,0.0,0.0
76.97462,33.754827,0.0,0.0,0.0,0.0
77.001207,41.027822,0.0,0.0,0.0,0.0
77.020515,30.835369,0.0,0.0,0.0,0.0
77.026766,31.8225,0.0,0.0,0.0,0.0
