Mass,Intensity,ControlMax__ab1_1_peaks,ControlMax__mc_1_peaks,ControlMax__pc1_1_peaks,Average_Control_Intensity
75.055789,42.337808,0.0,0.0,0.0,0.0
75.076143,52.780552,0.0,0.0,0.0,0.0
75.084087,37.023046,0.0,0.0,0.0,0.0
75.085553,46.702068,0.0,0.0,0.0,0.0
75.099747,39.985994,0.0,0.0,0.0,0.0
75.107077,48.983162,0.0,0.0,0.0,0.0
75.108312,49.57271,0.0,0.0,0.0,0.0
75.150076,47.204118,0.0,0.0,0.0,0.0
75.158263,44.610543,0.0,0.0,0.0,0.0
75.160194,53.009974,0.0,0.0,0.0,0.0
75.20293,40.599676,0.0,0.0,0.0,0.0
75.231312,46.912553,0.0,0.0,0.0,0.0
75.236108,39.501978,0.0,0.0,0.0,0.0
75.242143,45.577466,0.0,0.0,0.0,0.0
75.249184,46.987737,0.0,0.0,0.0,0.0
75.287969,42.309658,0.0,0.0,0.0,0.0
75.293312,99.532157,0.0,0.0,0.0,0.0
75.313067,44.907381,0.0,0.0,0.0,0.0
75.339495,41.469918,0.0,0.0,0.0,0.0
75.375556,42.31327,0.0,0.0,0.0,0.0
75.439367,43.654963,0.0,0.0,0.0,0.0
75.46353,44.92947,0.0,0.0,0.0,0.0
75.481563,49.330116,0.0,0.0,0.0,0.0
75.528931,44.00096,0.0,0.0,0.0,0.0
75.563571,45.075974,0.0,0.0,0.0,0.0
75.57385,40.473309,0.0,0.0,0.0,0.0
75.588807,44.442695,0.0,0.0,0.0,0.0
75.592546,46.784116,0.0,0.0,0.0,0.0
75.603533,55.415309,0.0,0.0,0.0,0.0
75.624657,43.246416,0.0,0.0,0.0,0.0
75.648754,51.440496,0.0,0.0,0.0,0.0
75.694952,43.852308,0.0,0.0,0.0,0.0
75.703072,43.695309,0.0,0.0,0.0,0.0
75.720644,42.573686,0.0,0.0,0.0,0.0
75.734003,44.714377,0.0,0.0,0.0,0.0
75.735956,42.908449,0.0,0.0,0.0,0.0
75.77027,43.510873,0.0,0.0,0.0,0.0
75.790368,53.626899,0.0,0.0,0.0,0.0
75.792715,40.5167,0.0,0.0,0.0,0.0
75.792871,50.320995,0.0,0.0,0.0,0.0
75.806484,42.943833,0.0,0.0,0.0,0.0
75.808127,37.588824,0.0,0.0,0.0,0.0
75.861912,50.384022,0.0,0.0,0.0,0.0
75.886279,48.912913,0.0,0.0,0.0,0.0
75.933479,43.989804,0.0,0.0,0.0,0.0
75.951916,76.326526,0.0,0.0,0.0,0.0
76.056389,44.411233,0.0,0.0,0.0,0.0
76.058748,43.121439,0.0,0.0,0.0,0.0
76.07613,44.819471,0.0,0.0,0.0,0.0
76.088717,50.931775,0.0,0.0,0.0,0.0
76.101544,46.922843,0.0,0.0,0.0,0.0
76.13146,45.8303,0.0,0.0,0.0,0.0
76.132956,43.619072,0.0,0.0,0.0,0.0
76.137524,43.718381,0.0,0.0,0.0,0.0
76.180229,39.312727,0.0,0.0,0.0,0.0
76.207667,36.837646,0.0,0.0,0.0,0.0
76.223049,46.709945,0.0,0.0,0.0,0.0
76.234647,41.996175,0.0,0.0,0.0,0.0
76.240723,43.6447,0.0,0.0,0.0,0.0
76.271985,52.758426,0.0,0.0,0.0,0.0
76.307216,45.122533,0.0,0.0,0.0,0.0
76.350459,48.655998,0.0,0.0,0.0,0.0
76.377515,42.255956,0.0,0.0,0.0,0.0
76.385983,39.351362,0.0,0.0,0.0,0.0
76.391286,40.131904,0.0,0.0,0.0,0.0
76.449971,46.513667,0.0,0.0,0.0,0.0
76.451001,44.646852,0.0,0.0,0.0,0.0
76.454885,47.326865,0.0,0.0,0.0,0.0
76.514437,41.646091,0.0,0.0,0.0,0.0
76.538007,51.444506,0.0,0.0,0.0,0.0
76.583831,42.640924,0.0,0.0,0.0,0.0
76.58685,48.734161,0.0,0.0,0.0,0.0
76.59273,40.707363,0.0,0.0,0.0,0.0
76.616814,50.568557,0.0,0.0,0.0,0.0
76.619437,51.118945,0.0,0.0,0.0,0.0
76.672735,49.350566,0.0,0.0,0.0,0.0
76.676317,44.798346,0.0,0.0,0.0,0.0
76.678625,50.299472,0.0,0.0,0.0,0.0
76.698369,49.367108,0.0,0.0,0.0,0.0
76.721388,36.168433,0.0,0.0,0.0,0.0
76.727602,42.886671,0.0,0.0,0.0,0.0
76.734136,45.297631,0.0,0.0,0.0,0.0
76.746249,41.104317,0.0,0.0,0.0,0.0
76.752228,37.938534,0.0,0.0,0.0,0.0
76.768492,46.538143,0.0,0.0,0.0,0.0
76.786596,41.803032,0.0,0.0,0.0,0.0
76.792579,51.135421,0.0,0.0,0.0,0.0
76.805744,42.951638,0.0,0.0,0.0,0.0
76.821306,37.358262,0.0,0.0,0.0,0.0
76.826814,46.684114,0.0,0.0,0.0,0.0
76.920621,40.46369,0.0,0.0,0.0,0.0
76.960785,49.083669,0.0,0.0,0.0,0.0
76.968149,41.894223,0.0,0.0,0.0,0.0
76.977195,42.819309,0.0,0.0,0.0,0.0
76.978236,57.344038,0.0,0.0,0.0,0.0
76.983281,50.744868,0.0,0.0,0.0,0.0
76.985363,39.455991,0.0,0.0,0.0,0.0
77.018045,42.448166,0.0,0.0,0.0,0.0
77.07585,52.925848,0.0,0.0,0.0,0.0
77.085156,43.299628,0.0,0.0,0.0,0.0
77.128339,41.42234,0.0,0.0,0.0,0.0
77.164246,39.628663,0.0,0.0,0.0,0.0
77.181526,48.295422,0.0,0.0,0.0,0.0
77.209587,38.550032,0.0,0.0,0.0,0.0
77.212322,39.387726,0.0,0.0,0.0,0.0
77.246919,56.00505,0.0,0.0,0.0,0.0
77.277755,40.545479,0.0,0.0,0.0,0.0
77.314411,41.725456,0.0,0.0,0.0,0.0
77.330773,47.182011,0.0,0.0,0.0,0.0
77.341416,50.426694,0.0,0.0,0.0,0.0
77.404026,38.576778,0.0,0.0,0.0,0.0
77.405882,47.246831,0.0,0.0,0.0,0.0
77.478514,47.110392,0.0,0.0,0.0,0.0
77.512077,42.734259,0.0,0.0,0.0,0.0
77.519682,44.748284,0.0,0.0,0.0,0.0
77.533439,38.879268,0.0,0.0,0.0,0.0
77.577,46.505853,0.0,0.0,0.0,0.0
77.608519,42.948117,0.0,0.0,0.0,0.0
77.635597,40.619044,0.0,0.0,0.0,0.0
77.641842,44.285192,0.0,0.0,0.0,0.0
77.65693,43.500747,0.0,0.0,0.0,0.0
77.669019,45.52026,0.0,0.0,0.0,0.0
77.680543,46.856079,0.0,0.0,0.0,0.0
77.694749,54.338006,0.0,0.0,0.0,0.0
77.697996,42.82757,0.0,0.0,0.0,0.0
77.781529,49.840707,0.0,0.0,0.0,0.0
77.782667,36.678671,0.0,0.0,0.0,0.0
77.801213,39.043556,0.0,0.0,0.0,0.0
77.806338,41.453391,0.0,0.0,0.0,0.0
77.821881,42.837259,0.0,0.0,0.0,0.0
77.822857,43.911689,0.0,0.0,0.0,0.0
77.860553,39.221214,0.0,0.0,0.0,0.0
77.889394,45.419504,0.0,0.0,0.0,0.0
77.943777,47.324316,0.0,0.0,0.0,0.0
77.975765,45.85705,0.0,0.0,0.0,0.0
77.976255,38.064796,0.0,0.0,0.0,0.0
77.998953,65.189819,0.0,0.0,0.0,0.0
78.001076,38.925464,0.0,0.0,0.0,0.0
78.031629,46.984548,0.0,0.0,0.0,0.0
78.067841,42.813787,0.0,0.0,0.0,0.0
78.098597,49.066153,0.0,0.0,0.0,0.0
78.130517,38.310959,0.0,0.0,0.0,0.0
78.132973,41.284229,0.0,0.0,0.0,0.0
78.136985,40.657201,0.0,0.0,0.0,0.0
78.160244,49.74718,0.0,0.0,0.0,0.0
78.16729,47.785447,0.0,0.0,0.0,0.0
78.176876,47.5618,0.0,0.0,0.0,0.0
78.202285,44.349113,0.0,0.0,0.0,0.0
78.232956,41.285817,0.0,0.0,0.0,0.0
78.277354,44.717963,0.0,0.0,0.0,0.0
78.33946,43.123017,0.0,0.0,0.0,0.0
78.345707,42.028066,0.0,0.0,0.0,0.0
78.347516,37.395827,0.0,0.0,0.0,0.0
78.360836,48.90839,0.0,0.0,0.0,0.0
78.40954,51.213748,0.0,0.0,0.0,0.0
78.427899,51.375507,0.0,0.0,0.0,0.0
78.460433,44.42523,0.0,0.0,0.0,0.0
78.462575,52.681819,0.0,0.0,0.0,0.0
78.4662,57.693244,0.0,0.0,0.0,0.0
78.496532,46.128712,0.0,0.0,0.0,0.0
78.50857,34.278924,0.0,0.0,0.0,0.0
78.528036,45.144301,0.0,0.0,0.0,0.0
78.553121,51.916587,0.0,0.0,0.0,0.0
78.571199,44.440728,0.0,0.0,0.0,0.0
78.579209,53.693908,0.0,0.0,0.0,0.0
78.583338,46.181982,0.0,0.0,0.0,0.0
78.595231,44.891143,0.0,0.0,0.0,0.0
78.618778,42.4405,0.0,0.0,0.0,0.0
78.620266,37.936013,0.0,0.0,0.0,0.0
78.625224,42.813464,0.0,0.0,0.0,0.0
78.640847,52.866341,0.0,0.0,0.0,0.0
78.702476,44.118597,0.0,0.0,0.0,0.0
78.725243,54.729235,0.0,0.0,0.0,0.0
78.734435,41.768297,0.0,0.0,0.0,0.0
78.762105,50.58901,0.0,0.0,0.0,0.0
78.807535,50.438896,0.0,0.0,0.0,0.0
78.829352,40.990291,0.0,0.0,0.0,0.0
